llm_a,llm_b,comparisons
llama-4-maverick-17b-128e-instruct,o3-2025-04-16,144
chatgpt-4o-latest-20250326,o3-2025-04-16,144
deepseek-v3-0324,gemini-2.5-pro,144
claude-sonnet-4-20250514,gemma-3-27b-it,143
deepseek-v3-0324,gemini-2.5-flash,143
gemini-2.5-pro,grok-3-mini-beta,142
claude-sonnet-4-20250514,deepseek-r1-0528,142
claude-3-7-sonnet-20250219-thinking-32k,command-a-03-2025,141
claude-opus-4-20250514,qwen3-235b-a22b,141
gemini-2.5-pro,llama-4-maverick-03-26-experimental,141
chatgpt-4o-latest-20250326,gemini-2.5-pro-preview-03-25,141
o3-mini,qwen3-235b-a22b-no-thinking,140
amazon.nova-pro-v1:0,claude-3-7-sonnet-20250219-thinking-32k,140
claude-3-5-sonnet-20241022,gemini-2.5-pro,140
gemini-2.5-flash,o3-mini,140
chatgpt-4o-latest-20250326,claude-sonnet-4-20250514,139
command-a-03-2025,qwen3-235b-a22b-no-thinking,139
deepseek-r1-0528,o3-2025-04-16,138
claude-3-5-haiku-20241022,qwen3-235b-a22b-no-thinking,137
deepseek-r1-0528,gemini-2.5-pro,137
claude-3-5-sonnet-20241022,claude-opus-4-20250514,137
chatgpt-4o-latest-20250326,grok-3-preview-02-24,137
claude-sonnet-4-20250514,gpt-4.1-2025-04-14,137
claude-opus-4-20250514-thinking-16k,mistral-medium-2505,136
gpt-4.1-2025-04-14,o3-2025-04-16,136
grok-3-mini-beta,o3-2025-04-16,136
gpt-4.1-mini-2025-04-14,mistral-medium-2505,136
chatgpt-4o-latest-20250326,gemini-2.0-flash-001,135
gemini-2.5-flash,gpt-4.1-mini-2025-04-14,134
chatgpt-4o-latest-20250326,o4-mini-2025-04-16,134
gpt-4.1-mini-2025-04-14,qwen3-235b-a22b-no-thinking,134
claude-3-7-sonnet-20250219,deepseek-r1-0528,133
claude-3-7-sonnet-20250219,gemma-3-27b-it,133
chatgpt-4o-latest-20250326,llama-4-maverick-17b-128e-instruct,133
grok-3-preview-02-24,qwen3-235b-a22b-no-thinking,132
claude-opus-4-20250514,llama-3.3-70b-instruct,132
claude-sonnet-4-20250514,o3-mini,131
claude-sonnet-4-20250514-thinking-32k,o3-2025-04-16,130
claude-opus-4-20250514,gemini-2.5-flash-preview-04-17,130
claude-sonnet-4-20250514,deepseek-v3-0324,130
deepseek-v3-0324,o3-2025-04-16,130
gemini-2.5-pro,qwen3-235b-a22b,130
gemini-2.5-pro,llama-3.3-70b-instruct,130
claude-3-5-sonnet-20241022,gemma-3-27b-it,130
chatgpt-4o-latest-20250326,gemini-2.5-pro,130
claude-sonnet-4-20250514-thinking-32k,mistral-medium-2505,129
gemini-2.5-flash,qwen3-30b-a3b,129
qwen3-235b-a22b-no-thinking,qwen3-30b-a3b,129
claude-3-7-sonnet-20250219-thinking-32k,llama-4-maverick-03-26-experimental,128
gemini-2.5-pro,gpt-4.1-mini-2025-04-14,128
gpt-4.1-2025-04-14,mistral-medium-2505,128
claude-3-7-sonnet-20250219,claude-sonnet-4-20250514,128
claude-3-7-sonnet-20250219,qwen3-235b-a22b-no-thinking,128
claude-opus-4-20250514,gemini-2.0-flash-001,128
gemini-2.5-flash,o4-mini-2025-04-16,128
command-a-03-2025,llama-4-maverick-03-26-experimental,127
claude-3-7-sonnet-20250219,o4-mini-2025-04-16,127
chatgpt-4o-latest-20250326,claude-3-7-sonnet-20250219-thinking-32k,127
claude-opus-4-20250514-thinking-16k,gemini-2.5-flash,127
amazon.nova-pro-v1:0,command-a-03-2025,127
claude-3-7-sonnet-20250219-thinking-32k,deepseek-v3-0324,127
claude-3-5-sonnet-20241022,gpt-4.1-2025-04-14,127
claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,126
gpt-4.1-2025-04-14,qwen3-235b-a22b-no-thinking,126
chatgpt-4o-latest-20250326,qwen3-235b-a22b-no-thinking,126
gemini-2.5-flash,llama-3.3-70b-instruct,125
gemini-2.0-flash-001,gpt-4.1-2025-04-14,125
claude-3-7-sonnet-20250219-thinking-32k,gpt-4.1-2025-04-14,125
gemma-3-27b-it,qwen3-235b-a22b-no-thinking,125
grok-3-mini-beta,mistral-medium-2505,125
chatgpt-4o-latest-20250326,o3-mini,125
claude-sonnet-4-20250514,qwen3-30b-a3b,124
mistral-medium-2505,o3-mini,124
chatgpt-4o-latest-20250326,qwq-32b,124
gemini-2.5-flash,minimax-m1,124
gemma-3-27b-it,o3-mini,124
claude-sonnet-4-20250514,qwen3-235b-a22b,123
claude-3-5-sonnet-20241022,grok-3-preview-02-24,123
claude-sonnet-4-20250514,o4-mini-2025-04-16,123
grok-3-preview-02-24,mistral-medium-2505,123
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-flash,123
llama-4-maverick-03-26-experimental,mistral-medium-2505,122
gemma-3-27b-it,gpt-4.1-2025-04-14,122
deepseek-r1-0528,gpt-4.1-mini-2025-04-14,122
claude-opus-4-20250514,qwq-32b,122
claude-3-5-haiku-20241022,gemma-3-27b-it,122
grok-3-preview-02-24,o3-mini,121
o3-2025-04-16,o4-mini-2025-04-16,121
chatgpt-4o-latest-20250326,gpt-4.1-2025-04-14,121
minimax-m1,o3-2025-04-16,120
mistral-medium-2505,o4-mini-2025-04-16,120
minimax-m1,qwen3-235b-a22b-no-thinking,120
deepseek-r1-0528,o4-mini-2025-04-16,119
gemini-2.5-pro,minimax-m1,119
claude-sonnet-4-20250514,grok-3-preview-02-24,119
claude-opus-4-20250514-thinking-16k,gemini-2.5-flash-lite-preview-06-17-thinking,119
gemini-2.0-flash-001,grok-3-preview-02-24,119
gemini-2.5-pro,grok-3-preview-02-24,117
gemini-2.5-flash-lite-preview-06-17-thinking,o3-2025-04-16,117
claude-3-7-sonnet-20250219-thinking-32k,minimax-m1,117
claude-sonnet-4-20250514,gemini-2.5-flash-preview-04-17,117
claude-3-7-sonnet-20250219-thinking-32k,o4-mini-2025-04-16,117
chatgpt-4o-latest-20250326,grok-3-mini-beta,117
gemini-2.5-pro,o4-mini-2025-04-16,117
claude-3-5-haiku-20241022,claude-sonnet-4-20250514,117
claude-3-7-sonnet-20250219,grok-3-mini-beta,117
grok-3-mini-beta,qwen3-235b-a22b-no-thinking,117
chatgpt-4o-latest-20250326,command-a-03-2025,116
claude-opus-4-20250514,qwen-max-2025-01-25,116
gemini-2.0-flash-001,o4-mini-2025-04-16,116
gemini-2.5-flash,qwen3-235b-a22b,116
gemini-2.5-flash-lite-preview-06-17-thinking,qwen3-235b-a22b-no-thinking,116
mistral-medium-2505,qwen3-235b-a22b,115
claude-3-7-sonnet-20250219,gemini-2.0-flash-001,115
gemma-3-27b-it,gpt-4.1-mini-2025-04-14,115
gemma-3-27b-it,grok-3-preview-02-24,115
gemini-2.0-flash-001,o3-mini,115
gemini-2.5-flash-lite-preview-06-17-thinking,mistral-medium-2505,115
claude-3-7-sonnet-20250219,command-a-03-2025,115
claude-3-5-sonnet-20241022,o3-mini,114
deepseek-r1-0528,gpt-4.1-2025-04-14,114
claude-sonnet-4-20250514,grok-3-mini-beta,114
claude-3-5-sonnet-20241022,claude-sonnet-4-20250514,113
claude-3-5-sonnet-20241022,qwen3-235b-a22b-no-thinking,112
claude-3-7-sonnet-20250219,grok-3-preview-02-24,112
o4-mini-2025-04-16,qwen3-235b-a22b-no-thinking,112
grok-3-preview-02-24,o3-2025-04-16,112
deepseek-r1-0528,gemma-3-27b-it,112
gemini-2.5-pro,llama-4-maverick-17b-128e-instruct,112
deepseek-v3-0324,gemma-3-27b-it,112
deepseek-v3-0324,mistral-medium-2505,112
claude-3-7-sonnet-20250219-thinking-32k,gpt-4.1-mini-2025-04-14,111
command-a-03-2025,o3-mini,110
claude-3-7-sonnet-20250219-thinking-32k,gemma-3-27b-it,110
gemini-2.0-flash-001,llama-3.3-70b-instruct,110
amazon.nova-pro-v1:0,deepseek-r1-0528,110
minimax-m1,mistral-medium-2505,110
gemma-3-27b-it,o4-mini-2025-04-16,110
claude-3-5-haiku-20241022,grok-3-preview-02-24,110
gemini-2.5-pro,mistral-small-3.1-24b-instruct-2503,109
llama-4-maverick-03-26-experimental,o3-2025-04-16,109
gemini-2.0-flash-001,gemma-3-27b-it,109
deepseek-r1-0528,o3-mini,109
llama-3.3-70b-instruct,mistral-medium-2505,108
claude-opus-4-20250514-thinking-16k,minimax-m1,108
mistral-small-3.1-24b-instruct-2503,qwen3-235b-a22b-no-thinking,107
gemini-2.0-flash-001,gemini-2.5-pro,107
claude-3-5-sonnet-20241022,mistral-medium-2505,107
chatgpt-4o-latest-20250326,gpt-4.1-mini-2025-04-14,107
claude-3-5-sonnet-20241022,grok-3-mini-beta,107
claude-opus-4-20250514,minimax-m1,107
o3-2025-04-16,qwen-max-2025-01-25,106
mistral-medium-2505,qwen3-30b-a3b,106
llama-3.3-70b-instruct,o3-2025-04-16,106
claude-3-5-haiku-20241022,deepseek-r1-0528,106
gemini-2.5-flash-preview-04-17,mistral-medium-2505,106
gemini-2.5-flash,llama-4-maverick-17b-128e-instruct,106
claude-3-5-sonnet-20241022,claude-3-7-sonnet-20250219,106
command-a-03-2025,o4-mini-2025-04-16,106
claude-3-5-sonnet-20241022,o4-mini-2025-04-16,105
claude-3-7-sonnet-20250219,minimax-m1,105
grok-3-preview-02-24,o4-mini-2025-04-16,105
command-a-03-2025,deepseek-r1-0528,104
o3-2025-04-16,qwen3-30b-a3b,104
claude-3-5-haiku-20241022,o3-mini,104
claude-opus-4-20250514-thinking-16k,gemma-3-27b-it,104
gemini-2.5-flash,gemini-2.5-flash-lite-preview-06-17-thinking,104
o3-2025-04-16,qwen3-235b-a22b,103
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-flash-preview-04-17,103
claude-opus-4-20250514-thinking-16k,claude-sonnet-4-20250514-thinking-32k,103
mistral-medium-2505,qwen-max-2025-01-25,103
gemini-2.5-flash-lite-preview-06-17-thinking,gemini-2.5-pro,103
command-a-03-2025,qwen3-30b-a3b,103
deepseek-r1-0528,llama-4-maverick-03-26-experimental,103
gemini-2.5-flash-preview-04-17,llama-4-maverick-17b-128e-instruct,103
claude-opus-4-20250514-thinking-16k,o3-mini,102
claude-3-7-sonnet-20250219-thinking-32k,grok-3-preview-02-24,102
gemini-2.5-flash-preview-04-17,o3-2025-04-16,102
amazon.nova-pro-v1:0,claude-opus-4-20250514-thinking-16k,102
chatgpt-4o-latest-20250326,llama-3.3-70b-instruct,102
gpt-4.1-mini-2025-04-14,o3-2025-04-16,102
amazon.nova-pro-v1:0,claude-3-7-sonnet-20250219,102
claude-opus-4-20250514-thinking-16k,llama-4-maverick-03-26-experimental,102
claude-sonnet-4-20250514-thinking-32k,deepseek-r1-0528,102
amazon.nova-pro-v1:0,grok-3-mini-beta,101
grok-3-mini-beta,o3-mini,101
claude-3-7-sonnet-20250219-thinking-32k,o3-mini,101
claude-opus-4-20250514-thinking-16k,deepseek-r1-0528,101
claude-opus-4-20250514,llama-4-maverick-17b-128e-instruct,101
gemma-3-27b-it,grok-3-mini-beta,101
claude-3-7-sonnet-20250219-thinking-32k,qwen3-235b-a22b,100
claude-3-7-sonnet-20250219,llama-4-maverick-03-26-experimental,100
command-a-03-2025,gpt-4.1-2025-04-14,100
gemini-2.5-flash-preview-04-17,gemini-2.5-pro,100
gpt-4.1-2025-04-14,o3-mini,100
claude-3-5-haiku-20241022,deepseek-v3-0324,100
claude-3-5-haiku-20241022,o4-mini-2025-04-16,100
chatgpt-4o-latest-20250326,gemini-2.5-flash-preview-04-17,100
chatgpt-4o-latest-20250326,deepseek-v3-0324,100
llama-4-maverick-17b-128e-instruct,mistral-medium-2505,100
qwen3-235b-a22b,qwen3-235b-a22b-no-thinking,100
