llm_a,llm_b,comparisons
minimax-m1,o3-2025-04-16,81
grok-3-mini-beta,qwen3-235b-a22b-no-thinking,81
claude-sonnet-4-20250514,gemini-2.5-flash-preview-04-17,81
gemini-2.5-flash,minimax-m1,81
gemini-2.5-pro,gpt-4.1-mini-2025-04-14,81
chatgpt-4o-latest-20250326,command-a-03-2025,81
claude-opus-4-20250514,llama-3.3-70b-instruct,81
claude-3-7-sonnet-20250219-thinking-32k,deepseek-v3-0324,81
claude-sonnet-4-20250514-thinking-32k,mistral-medium-2505,80
claude-opus-4-20250514-thinking-16k,gemini-2.5-flash-lite-preview-06-17-thinking,80
claude-opus-4-20250514,gemini-2.5-pro-preview-05-06,80
o4-mini-2025-04-16,qwen3-235b-a22b-no-thinking,80
mistral-medium-2505,o3-mini,80
gemma-3-27b-it,o3-mini,80
gemini-2.0-flash-001,o3-mini,80
command-a-03-2025,qwen3-235b-a22b-no-thinking,80
gemini-2.5-flash,gpt-4.1-2025-04-14,80
deepseek-r1-0528,gemini-2.5-pro,80
claude-opus-4-20250514,gemini-2.5-flash-preview-04-17,79
grok-3-preview-02-24,qwen3-235b-a22b-no-thinking,79
command-a-03-2025,o4-mini-2025-04-16,79
claude-opus-4-20250514-thinking-16k,o3-2025-04-16,79
gpt-4.1-2025-04-14,o3-2025-04-16,78
claude-3-5-sonnet-20241022,qwen3-235b-a22b-no-thinking,78
gemini-2.5-flash,gpt-4.1-mini-2025-04-14,78
claude-sonnet-4-20250514,deepseek-v3-0324,78
chatgpt-4o-latest-20250326,claude-sonnet-4-20250514,78
gemini-2.0-flash-001,llama-3.3-70b-instruct,78
claude-3-5-sonnet-20241022,gpt-4.1-2025-04-14,78
gemini-2.5-pro,qwen3-235b-a22b,78
gemma-3-27b-it,gpt-4.1-mini-2025-04-14,78
grok-3-preview-02-24,o3-mini,78
amazon.nova-pro-v1:0,gemini-2.5-pro,78
claude-3-5-sonnet-20241022,o3-mini,77
gemini-2.5-pro,llama-3.3-70b-instruct,77
claude-sonnet-4-20250514,grok-3-mini-beta,77
chatgpt-4o-latest-20250326,gemini-2.5-pro,77
deepseek-r1-0528,o3-2025-04-16,77
grok-3-mini-beta,mistral-medium-2505,77
gemma-3-27b-it,gpt-4.1-2025-04-14,77
claude-3-7-sonnet-20250219,claude-sonnet-4-20250514,76
gpt-4.1-mini-2025-04-14,qwen3-235b-a22b-no-thinking,76
gemini-2.5-flash,llama-3.3-70b-instruct,76
gemini-2.5-pro,grok-3-preview-02-24,76
claude-sonnet-4-20250514,o3-mini,76
claude-3-5-haiku-20241022,gemini-2.5-flash,76
command-a-03-2025,llama-4-maverick-03-26-experimental,76
gemma-3-27b-it,o4-mini-2025-04-16,75
claude-3-7-sonnet-20250219,grok-3-mini-beta,75
gemini-2.5-pro,llama-4-maverick-03-26-experimental,75
claude-opus-4-20250514-thinking-16k,gemini-2.5-pro,75
claude-3-5-haiku-20241022,claude-sonnet-4-20250514,75
chatgpt-4o-latest-20250326,qwen3-235b-a22b-no-thinking,73
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-flash,73
gemini-2.0-flash-001,gemma-3-27b-it,73
deepseek-r1-0528,gpt-4.1-mini-2025-04-14,73
claude-sonnet-4-20250514,gemma-3-27b-it,73
claude-sonnet-4-20250514,gpt-4.1-mini-2025-04-14,73
claude-3-7-sonnet-20250219-thinking-32k,o3-mini,72
gemma-3-27b-it,grok-3-preview-02-24,72
gemini-2.5-pro,qwen3-30b-a3b,72
claude-3-7-sonnet-20250219-thinking-32k,llama-4-maverick-03-26-experimental,72
gemini-2.0-flash-001,llama-4-maverick-17b-128e-instruct,72
gemini-2.5-flash,qwen3-30b-a3b,72
grok-3-preview-02-24,o3-2025-04-16,72
claude-3-5-sonnet-20241022,o4-mini-2025-04-16,72
llama-3.3-70b-instruct,o3-2025-04-16,72
gemini-2.5-flash-lite-preview-06-17-thinking,qwen3-235b-a22b-no-thinking,71
amazon.nova-pro-v1:0,deepseek-v3-0324,71
chatgpt-4o-latest-20250326,gemini-2.5-flash-preview-04-17,71
claude-3-5-haiku-20241022,grok-3-preview-02-24,71
mistral-medium-2505,qwen3-235b-a22b,71
deepseek-v3-0324,mistral-medium-2505,71
claude-3-5-haiku-20241022,llama-4-maverick-03-26-experimental,71
gemini-2.5-pro,o4-mini-2025-04-16,71
claude-sonnet-4-20250514,grok-3-preview-02-24,71
deepseek-r1-0528,o4-mini-2025-04-16,71
minimax-m1,qwen3-235b-a22b-no-thinking,71
claude-opus-4-20250514-thinking-16k,gemini-2.5-flash,70
deepseek-r1-0528,gemma-3-27b-it,70
claude-3-7-sonnet-20250219-thinking-32k,gpt-4.1-mini-2025-04-14,70
grok-3-preview-02-24,o4-mini-2025-04-16,70
claude-3-7-sonnet-20250219,minimax-m1,70
claude-3-5-haiku-20241022,o4-mini-2025-04-16,70
claude-3-5-haiku-20241022,deepseek-r1-0528,70
mistral-medium-2505,o4-mini-2025-04-16,70
claude-3-7-sonnet-20250219,deepseek-r1-0528,70
claude-3-5-sonnet-20241022,mistral-medium-2505,70
llama-4-maverick-03-26-experimental,o3-2025-04-16,70
gemini-2.0-flash-001,qwen-max-2025-01-25,70
llama-4-maverick-17b-128e-instruct,o4-mini-2025-04-16,70
claude-3-5-haiku-20241022,gemini-2.0-flash-001,69
claude-3-5-haiku-20241022,o3-mini,69
claude-sonnet-4-20250514-thinking-32k,o3-2025-04-16,69
deepseek-r1-0528,o3-mini,69
gemini-2.5-flash,qwen3-235b-a22b,68
claude-sonnet-4-20250514-thinking-32k,deepseek-r1-0528,68
claude-sonnet-4-20250514,llama-3.3-70b-instruct,68
minimax-m1,mistral-medium-2505,68
claude-sonnet-4-20250514,o4-mini-2025-04-16,68
qwen3-235b-a22b,qwen3-235b-a22b-no-thinking,68
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-flash-preview-04-17,68
claude-opus-4-20250514,gemini-2.0-flash-001,68
claude-3-7-sonnet-20250219-thinking-32k,o4-mini-2025-04-16,68
gpt-4.1-2025-04-14,llama-3.3-70b-instruct,67
claude-3-7-sonnet-20250219,llama-4-maverick-17b-128e-instruct,67
chatgpt-4o-latest-20250326,deepseek-v3-0324,67
claude-3-5-sonnet-20241022,claude-3-7-sonnet-20250219,67
gemini-2.0-flash-001,gemini-2.5-pro-preview-03-25,67
mistral-medium-2505,qwen3-30b-a3b,67
gemini-2.5-flash-preview-04-17,llama-4-maverick-17b-128e-instruct,67
claude-sonnet-4-20250514,qwen3-235b-a22b,67
gemini-2.0-flash-001,grok-3-preview-02-24,67
gemini-2.0-flash-001,gemini-2.5-flash-preview-04-17,66
gpt-4.1-mini-2025-04-14,o3-2025-04-16,66
o3-2025-04-16,qwen3-235b-a22b,66
deepseek-v3-0324,gemma-3-27b-it,66
gemini-2.5-flash-preview-04-17,o3-2025-04-16,66
chatgpt-4o-latest-20250326,qwen-max-2025-01-25,66
gemini-2.0-flash-001,mistral-medium-2505,66
gemini-2.0-flash-001,qwq-32b,66
mistral-medium-2505,qwen-max-2025-01-25,66
amazon.nova-pro-v1:0,chatgpt-4o-latest-20250326,66
claude-3-5-sonnet-20241022,llama-4-maverick-17b-128e-instruct,66
claude-3-5-sonnet-20241022,grok-3-mini-beta,66
gemma-3-27b-it,grok-3-mini-beta,65
deepseek-r1-0528,gpt-4.1-2025-04-14,65
claude-3-5-sonnet-20241022,deepseek-v3-0324,65
claude-3-7-sonnet-20250219-thinking-32k,gemma-3-27b-it,65
chatgpt-4o-latest-20250326,claude-3-7-sonnet-20250219-thinking-32k,65
deepseek-v3-0324,grok-3-preview-02-24,65
amazon.nova-pro-v1:0,claude-3-7-sonnet-20250219,65
claude-3-7-sonnet-20250219,command-a-03-2025,64
gemini-2.5-flash,qwen-max-2025-01-25,64
claude-opus-4-20250514,qwq-32b,64
claude-3-5-haiku-20241022,claude-3-5-sonnet-20241022,64
grok-3-mini-beta,o4-mini-2025-04-16,64
gpt-4.1-2025-04-14,o3-mini,64
amazon.nova-pro-v1:0,gpt-4.1-mini-2025-04-14,64
gemini-2.5-flash-lite-preview-06-17-thinking,o3-2025-04-16,64
gemini-2.0-flash-001,gemini-2.5-pro,63
command-a-03-2025,qwen3-30b-a3b,63
claude-sonnet-4-20250514,qwen3-30b-a3b,63
gemini-2.5-flash-lite-preview-06-17-thinking,mistral-medium-2505,63
amazon.nova-pro-v1:0,llama-4-maverick-03-26-experimental,63
chatgpt-4o-latest-20250326,gpt-4.1-mini-2025-04-14,63
gpt-4.1-mini-2025-04-14,grok-3-mini-beta,63
gpt-4.1-mini-2025-04-14,o3-mini,63
claude-3-7-sonnet-20250219,gpt-4.1-mini-2025-04-14,63
claude-3-7-sonnet-20250219,gpt-4.1-2025-04-14,63
claude-3-5-sonnet-20241022,llama-3.3-70b-instruct,63
claude-3-7-sonnet-20250219,gemini-2.5-flash-preview-04-17,63
chatgpt-4o-latest-20250326,qwen3-30b-a3b,63
gemma-3-27b-it,qwen3-235b-a22b,63
claude-3-7-sonnet-20250219-thinking-32k,qwen3-235b-a22b,62
claude-3-5-haiku-20241022,deepseek-v3-0324,62
claude-3-7-sonnet-20250219-thinking-32k,qwen3-30b-a3b,62
gpt-4.1-2025-04-14,grok-3-preview-02-24,62
claude-3-5-sonnet-20241022,qwen3-235b-a22b,62
gpt-4.1-2025-04-14,o4-mini-2025-04-16,62
gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14,62
claude-3-5-haiku-20241022,llama-4-maverick-17b-128e-instruct,62
claude-sonnet-4-20250514-thinking-32k,o3-mini,62
claude-opus-4-20250514-thinking-16k,gemma-3-27b-it,62
claude-3-5-haiku-20241022,gpt-4.1-mini-2025-04-14,62
command-a-03-2025,o3-mini,62
llama-4-maverick-17b-128e-instruct,mistral-medium-2505,62
gemini-2.0-flash-001,grok-3-mini-beta,62
o3-2025-04-16,qwen-max-2025-01-25,62
mistral-small-3.1-24b-instruct-2503,qwen3-235b-a22b-no-thinking,62
o3-2025-04-16,qwen3-30b-a3b,61
claude-3-5-sonnet-20241022,llama-4-maverick-03-26-experimental,61
grok-3-mini-beta,o3-mini,61
claude-3-5-sonnet-20241022,claude-sonnet-4-20250514,61
claude-3-5-haiku-20241022,gemini-2.5-flash-preview-04-17,61
claude-3-5-haiku-20241022,grok-3-mini-beta,61
gemini-2.5-flash-preview-04-17,mistral-medium-2505,61
claude-opus-4-20250514-thinking-16k,o4-mini-2025-04-16,61
command-a-03-2025,gpt-4.1-2025-04-14,61
gemini-2.5-flash,llama-4-maverick-17b-128e-instruct,61
deepseek-r1-0528,grok-3-preview-02-24,61
claude-3-7-sonnet-20250219-thinking-32k,minimax-m1,61
o3-mini,o4-mini-2025-04-16,61
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-pro-preview-05-06,60
gemini-2.5-pro,qwq-32b,60
claude-opus-4-20250514-thinking-16k,claude-sonnet-4-20250514-thinking-32k,60
gemini-2.5-pro,llama-4-maverick-17b-128e-instruct,60
gpt-4.1-mini-2025-04-14,o4-mini-2025-04-16,60
claude-3-5-sonnet-20241022,gpt-4.1-mini-2025-04-14,59
claude-3-5-sonnet-20241022,qwen3-30b-a3b,59
llama-3.3-70b-instruct,o4-mini-2025-04-16,59
gemma-3-27b-it,llama-4-maverick-17b-128e-instruct,59
gpt-4.1-2025-04-14,qwen-max-2025-01-25,59
amazon.nova-pro-v1:0,claude-3-5-haiku-20241022,59
amazon.nova-pro-v1:0,o4-mini-2025-04-16,58
amazon.nova-pro-v1:0,claude-opus-4-20250514-thinking-16k,58
claude-3-7-sonnet-20250219-thinking-32k,grok-3-mini-beta,58
claude-3-5-sonnet-20241022,gemini-2.5-flash-preview-04-17,58
claude-opus-4-20250514,qwen-max-2025-01-25,58
claude-3-7-sonnet-20250219,o3-mini,58
amazon-nova-experimental-chat-05-14,gemini-2.5-flash,58
claude-3-5-sonnet-20241022,minimax-m1,58
gemma-3-27b-it,llama-3.3-70b-instruct,58
deepseek-r1-0528,grok-3-mini-beta,58
claude-opus-4-20250514-thinking-16k,deepseek-r1-0528,58
gemini-2.5-flash-preview-04-17,gemini-2.5-pro,58
claude-sonnet-4-20250514,gemini-2.5-flash-lite-preview-06-17-thinking,58
gemini-2.5-flash-lite-preview-06-17-thinking,gemini-2.5-pro,58
deepseek-v3-0324,gemini-2.0-flash-001,58
chatgpt-4o-latest-20250326,claude-opus-4-20250514-thinking-16k,58
gemini-2.0-flash-001,qwen3-235b-a22b-no-thinking,58
claude-opus-4-20250514-thinking-16k,gpt-4.1-2025-04-14,57
amazon.nova-pro-v1:0,grok-3-mini-beta,57
claude-opus-4-20250514-thinking-16k,minimax-m1,57
command-a-03-2025,gemma-3-27b-it,57
chatgpt-4o-latest-20250326,qwen3-235b-a22b,57
gpt-4.1-mini-2025-04-14,llama-4-maverick-17b-128e-instruct,57
claude-3-5-sonnet-20241022,command-a-03-2025,57
grok-3-preview-02-24,llama-3.3-70b-instruct,57
claude-3-5-sonnet-20241022,qwq-32b,57
claude-3-5-haiku-20241022,gpt-4.1-2025-04-14,57
claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219-thinking-32k,57
llama-3.3-70b-instruct,qwen3-235b-a22b-no-thinking,57
grok-3-preview-02-24,llama-4-maverick-17b-128e-instruct,57
gemma-3-27b-it,qwq-32b,57
claude-opus-4-20250514,claude-opus-4-20250514-thinking-16k,56
llama-4-maverick-03-26-experimental,o3-mini,56
o3-2025-04-16,qwq-32b,56
gpt-4.1-mini-2025-04-14,grok-3-preview-02-24,56
deepseek-v3-0324,grok-3-mini-beta,56
chatgpt-4o-latest-20250326,deepseek-r1-0528,56
claude-sonnet-4-20250514-thinking-32k,o4-mini-2025-04-16,56
gemini-2.5-flash,qwq-32b,56
gpt-4.1-mini-2025-04-14,qwen3-235b-a22b,56
gemini-2.5-pro-preview-05-06,mistral-medium-2505,56
claude-sonnet-4-20250514-thinking-32k,qwen3-30b-a3b,56
gemini-2.5-pro,mistral-small-3.1-24b-instruct-2503,56
deepseek-v3-0324,gemini-2.5-flash-preview-04-17,55
llama-4-maverick-17b-128e-instruct,o3-mini,55
amazon.nova-pro-v1:0,o3-mini,55
amazon.nova-pro-v1:0,deepseek-r1-0528,55
amazon.nova-pro-v1:0,claude-3-5-sonnet-20241022,55
command-a-03-2025,deepseek-r1-0528,55
deepseek-r1-0528,llama-4-maverick-03-26-experimental,55
deepseek-v3-0324,o3-mini,55
claude-opus-4-20250514-thinking-16k,claude-sonnet-4-20250514,55
amazon.nova-pro-v1:0,gemma-3-27b-it,55
llama-3.3-70b-instruct,mistral-medium-2505,55
grok-3-mini-beta,llama-3.3-70b-instruct,55
claude-opus-4-20250514,gemini-2.5-flash-lite-preview-06-17-thinking,55
claude-3-7-sonnet-20250219,llama-4-maverick-03-26-experimental,55
claude-3-7-sonnet-20250219-thinking-32k,grok-3-preview-02-24,55
claude-3-7-sonnet-20250219,qwen-max-2025-01-25,55
gemini-2.5-flash-preview-04-17,gemma-3-27b-it,55
gemini-2.5-flash-preview-04-17,o4-mini-2025-04-16,55
claude-sonnet-4-20250514,gemini-2.0-flash-001,55
deepseek-v3-0324,gpt-4.1-mini-2025-04-14,55
claude-opus-4-20250514-thinking-16k,o3-mini,55
claude-sonnet-4-20250514,llama-4-maverick-17b-128e-instruct,54
gpt-4.1-2025-04-14,grok-3-mini-beta,54
claude-3-5-sonnet-20241022,gemini-2.5-flash-lite-preview-06-17-thinking,54
claude-3-5-haiku-20241022,claude-3-7-sonnet-20250219,54
claude-sonnet-4-20250514,gemini-2.5-pro-preview-05-06,54
claude-sonnet-4-20250514-thinking-32k,gemma-3-27b-it,54
deepseek-v3-0324,minimax-m1,54
gemini-2.0-flash-001,gemini-2.5-flash,54
gemini-2.5-flash,grok-3-preview-02-24,54
llama-4-maverick-17b-128e-instruct,qwq-32b,54
gemini-2.5-flash,gemini-2.5-flash-preview-04-17,54
claude-3-7-sonnet-20250219,claude-sonnet-4-20250514-thinking-32k,54
gemini-2.5-flash-lite-preview-06-17-thinking,gemma-3-27b-it,54
claude-3-7-sonnet-20250219,qwen3-30b-a3b,54
llama-4-maverick-03-26-experimental,llama-4-maverick-17b-128e-instruct,54
claude-sonnet-4-20250514-thinking-32k,command-a-03-2025,53
claude-sonnet-4-20250514,qwq-32b,53
claude-opus-4-20250514,llama-4-maverick-17b-128e-instruct,53
claude-3-5-haiku-20241022,claude-opus-4-20250514-thinking-16k,53
gemma-3-27b-it,minimax-m1,53
amazon-nova-experimental-chat-05-14,claude-sonnet-4-20250514-thinking-32k,53
command-a-03-2025,grok-3-mini-beta,53
deepseek-r1-0528,llama-3.3-70b-instruct,53
claude-3-5-haiku-20241022,qwen-max-2025-01-25,53
amazon.nova-pro-v1:0,minimax-m1,52
amazon-nova-experimental-chat-05-14,gemini-2.5-pro,52
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.0-flash-001,52
deepseek-v3-0324,llama-4-maverick-17b-128e-instruct,52
gemini-2.5-flash,gemini-2.5-flash-lite-preview-06-17-thinking,52
grok-3-mini-beta,grok-3-preview-02-24,52
claude-3-7-sonnet-20250219,qwen3-235b-a22b,52
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-flash-lite-preview-06-17-thinking,52
command-a-03-2025,gemini-2.5-flash-preview-04-17,52
gemini-2.5-flash,mistral-small-3.1-24b-instruct-2503,52
gemini-2.5-pro,gemini-2.5-pro-preview-05-06,52
grok-3-mini-beta,qwen3-30b-a3b,52
minimax-m1,qwen3-235b-a22b,51
claude-3-5-haiku-20241022,claude-3-7-sonnet-20250219-thinking-32k,51
claude-opus-4-20250514-thinking-16k,command-a-03-2025,51
command-a-03-2025,gpt-4.1-mini-2025-04-14,51
llama-3.3-70b-instruct,o3-mini,51
gpt-4.1-2025-04-14,llama-4-maverick-17b-128e-instruct,51
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-flash-lite-preview-06-17-thinking,50
gemini-2.5-flash-preview-04-17,grok-3-preview-02-24,50
gpt-4.1-2025-04-14,qwq-32b,50
claude-3-5-sonnet-20241022,claude-3-7-sonnet-20250219-thinking-32k,50
claude-3-7-sonnet-20250219,deepseek-v3-0324,50
claude-3-7-sonnet-20250219,gemini-2.5-flash-lite-preview-06-17-thinking,50
minimax-m1,o3-mini,50
amazon-nova-experimental-chat-05-14,o3-2025-04-16,50
qwen3-235b-a22b-no-thinking,qwq-32b,50
