llm_p,llm_q,comparisons
llama-3.3-70b-instruct,o3-2025-04-16,121
amazon.nova-pro-v1:0,chatgpt-4o-latest-20250326,121
claude-opus-4-20250514-thinking-16k,deepseek-r1-0528,121
claude-3-7-sonnet-20250219,minimax-m1,121
claude-opus-4-20250514,llama-4-maverick-17b-128e-instruct,121
claude-3-5-haiku-20241022,grok-3-preview-02-24,121
deepseek-r1-0528,o3-mini,121
command-a-03-2025,deepseek-r1-0528,121
llama-4-maverick-03-26-experimental,o3-2025-04-16,120
llama-4-maverick-17b-128e-instruct,mistral-medium-2505,120
gemini-2.5-flash-lite-preview-06-17-thinking,gemini-2.5-pro,120
gemini-2.5-flash-preview-04-17,o3-2025-04-16,120
command-a-03-2025,gpt-4.1-2025-04-14,120
o3-2025-04-16,qwen3-30b-a3b,120
claude-opus-4-20250514-thinking-16k,gemma-3-27b-it,120
amazon.nova-pro-v1:0,deepseek-v3-0324,120
claude-3-5-sonnet-20241022,claude-3-7-sonnet-20250219,120
claude-3-7-sonnet-20250219-thinking-32k,grok-3-preview-02-24,120
gpt-4.1-2025-04-14,o4-mini-2025-04-16,119
llama-4-maverick-17b-128e-instruct,o4-mini-2025-04-16,119
chatgpt-4o-latest-20250326,gpt-4.1-mini-2025-04-14,119
llama-3.3-70b-instruct,mistral-medium-2505,119
claude-3-7-sonnet-20250219-thinking-32k,o3-mini,119
claude-sonnet-4-20250514,llama-3.3-70b-instruct,119
chatgpt-4o-latest-20250326,deepseek-v3-0324,119
o3-2025-04-16,qwen-max-2025-01-25,119
claude-3-7-sonnet-20250219,gpt-4.1-mini-2025-04-14,119
gemini-2.5-flash-preview-04-17,llama-4-maverick-17b-128e-instruct,119
chatgpt-4o-latest-20250326,gemini-2.5-flash-preview-04-17,118
gemini-2.0-flash-001,gemini-2.5-pro,118
claude-opus-4-20250514,minimax-m1,118
gemini-2.5-flash,gemini-2.5-flash-lite-preview-06-17-thinking,118
llama-4-maverick-17b-128e-instruct,o3-mini,118
o3-2025-04-16,qwen3-235b-a22b,118
amazon.nova-pro-v1:0,grok-3-mini-beta,117
claude-3-5-haiku-20241022,deepseek-v3-0324,117
deepseek-r1-0528,llama-4-maverick-03-26-experimental,117
command-a-03-2025,qwen3-30b-a3b,117
claude-sonnet-4-20250514,gemini-2.5-pro-preview-05-06,116
claude-opus-4-20250514-thinking-16k,claude-sonnet-4-20250514-thinking-32k,116
llama-3.3-70b-instruct,qwen3-235b-a22b-no-thinking,116
gpt-4.1-2025-04-14,o3-mini,116
claude-opus-4-20250514-thinking-16k,llama-4-maverick-03-26-experimental,115
claude-sonnet-4-20250514-thinking-32k,gemini-2.5-flash-lite-preview-06-17-thinking,115
claude-3-7-sonnet-20250219-thinking-32k,qwen3-235b-a22b,115
claude-3-5-haiku-20241022,gemini-2.5-flash-preview-04-17,115
qwen3-235b-a22b,qwen3-235b-a22b-no-thinking,115
amazon.nova-pro-v1:0,claude-3-7-sonnet-20250219,115
claude-opus-4-20250514-thinking-16k,o3-mini,115
claude-sonnet-4-20250514-thinking-32k,deepseek-r1-0528,115
gemma-3-27b-it,grok-3-mini-beta,114
o3-mini,o4-mini-2025-04-16,114
amazon.nova-pro-v1:0,llama-4-maverick-03-26-experimental,114
amazon.nova-pro-v1:0,claude-opus-4-20250514-thinking-16k,113
grok-3-mini-beta,o3-mini,113
deepseek-v3-0324,grok-3-preview-02-24,113
claude-3-5-haiku-20241022,grok-3-mini-beta,113
claude-opus-4-20250514-thinking-16k,o4-mini-2025-04-16,113
gemma-3-27b-it,llama-4-maverick-03-26-experimental,113
claude-3-5-sonnet-20241022,deepseek-r1-0528,113
claude-3-7-sonnet-20250219-thinking-32k,qwen3-30b-a3b,113
amazon.nova-pro-v1:0,gpt-4.1-mini-2025-04-14,112
claude-opus-4-20250514-thinking-16k,gpt-4.1-2025-04-14,112
claude-opus-4-20250514,claude-opus-4-20250514-thinking-16k,112
gemini-2.0-flash-001,llama-4-maverick-17b-128e-instruct,112
claude-sonnet-4-20250514,gemini-2.0-flash-001,112
gemini-2.5-flash,gemini-2.5-flash-preview-04-17,112
claude-3-5-sonnet-20241022,llama-4-maverick-17b-128e-instruct,111
claude-sonnet-4-20250514,gemini-2.5-flash-lite-preview-06-17-thinking,111
claude-3-7-sonnet-20250219,llama-4-maverick-03-26-experimental,111
magistral-medium-2506,qwen3-235b-a22b-no-thinking,111
gpt-4.1-mini-2025-04-14,o4-mini-2025-04-16,111
claude-opus-4-20250514-thinking-16k,claude-sonnet-4-20250514,111
claude-3-5-haiku-20241022,gemini-2.0-flash-001,110
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-pro-preview-05-06,110
claude-3-7-sonnet-20250219-thinking-32k,grok-3-mini-beta,110
grok-3-preview-02-24,llama-4-maverick-17b-128e-instruct,110
deepseek-r1-0528,qwen3-235b-a22b,109
chatgpt-4o-latest-20250326,qwen3-235b-a22b,109
claude-sonnet-4-20250514-thinking-32k,gemma-3-27b-it,109
gpt-4.1-mini-2025-04-14,grok-3-mini-beta,109
gemini-2.5-flash,qwen-max-2025-01-25,108
gpt-4.1-2025-04-14,llama-3.3-70b-instruct,108
claude-3-5-sonnet-20241022,llama-4-maverick-03-26-experimental,108
gemini-2.5-pro-preview-05-06,mistral-medium-2505,108
claude-3-7-sonnet-20250219,gpt-4.1-2025-04-14,108
gemini-2.0-flash-001,qwen-max-2025-01-25,108
chatgpt-4o-latest-20250326,claude-opus-4-20250514-thinking-16k,108
deepseek-r1-0528,grok-3-preview-02-24,108
gemini-2.0-flash-001,mistral-medium-2505,108
claude-3-5-sonnet-20241022,qwen3-235b-a22b,108
gpt-4.1-mini-2025-04-14,grok-3-preview-02-24,107
claude-opus-4-20250514,gemini-2.5-flash-lite-preview-06-17-thinking,107
claude-sonnet-4-20250514,llama-4-maverick-17b-128e-instruct,107
gemini-2.5-pro,qwq-32b,107
gemini-2.5-flash-preview-04-17,gemini-2.5-pro,107
claude-3-5-sonnet-20241022,gpt-4.1-mini-2025-04-14,107
chatgpt-4o-latest-20250326,qwen3-30b-a3b,107
command-a-03-2025,deepseek-v3-0324,107
gemini-2.5-flash-preview-04-17,gemma-3-27b-it,107
gpt-4.1-2025-04-14,grok-3-preview-02-24,106
llama-4-maverick-03-26-experimental,o3-mini,106
chatgpt-4o-latest-20250326,qwen-max-2025-01-25,106
claude-3-7-sonnet-20250219,claude-sonnet-4-20250514-thinking-32k,106
claude-3-5-sonnet-20241022,deepseek-v3-0324,106
amazon.nova-pro-v1:0,claude-sonnet-4-20250514-thinking-32k,105
grok-3-mini-beta,o4-mini-2025-04-16,105
deepseek-v3-0324,grok-3-mini-beta,105
claude-sonnet-4-20250514-thinking-32k,o4-mini-2025-04-16,105
gemma-3-27b-it,llama-4-maverick-17b-128e-instruct,105
claude-3-7-sonnet-20250219,gemini-2.5-flash-preview-04-17,105
qwen3-235b-a22b-no-thinking,qwq-32b,105
claude-3-5-sonnet-20241022,gemini-2.5-flash-preview-04-17,105
gemini-2.0-flash-001,grok-3-mini-beta,105
gemini-2.5-flash,grok-3-preview-02-24,105
amazon-nova-experimental-chat-05-14,gemini-2.5-pro,104
gemini-2.0-flash-001,qwen3-235b-a22b-no-thinking,104
claude-3-5-sonnet-20241022,gemini-2.5-flash-lite-preview-06-17-thinking,104
gemini-2.0-flash-001,gemini-2.5-flash,104
claude-sonnet-4-20250514,qwen-max-2025-01-25,104
claude-3-5-haiku-20241022,claude-sonnet-4-20250514-thinking-32k,104
deepseek-r1-0528,llama-3.3-70b-instruct,104
claude-3-7-sonnet-20250219,o3-mini,104
gemma-3-27b-it,qwen3-235b-a22b,104
claude-3-7-sonnet-20250219,llama-4-maverick-17b-128e-instruct,104
deepseek-r1-0528,grok-3-mini-beta,103
deepseek-v3-0324,o3-mini,103
gemma-3-27b-it,minimax-m1,103
claude-3-5-sonnet-20241022,llama-3.3-70b-instruct,103
claude-3-5-haiku-20241022,claude-3-7-sonnet-20250219-thinking-32k,103
amazon.nova-pro-v1:0,claude-3-5-sonnet-20241022,103
claude-3-7-sonnet-20250219,qwen3-30b-a3b,103
claude-opus-4-20250514-thinking-16k,deepseek-v3-0324,103
gpt-4.1-mini-2025-04-14,o3-mini,103
gemini-2.5-flash,qwq-32b,102
claude-opus-4-20250514-thinking-16k,command-a-03-2025,102
claude-opus-4-20250514-thinking-16k,grok-3-preview-02-24,102
claude-3-5-haiku-20241022,claude-opus-4-20250514-thinking-16k,102
claude-3-5-haiku-20241022,gpt-4.1-mini-2025-04-14,102
claude-3-7-sonnet-20250219-thinking-32k,claude-opus-4-20250514-thinking-16k,102
gemma-3-27b-it,llama-3.3-70b-instruct,102
claude-3-5-haiku-20241022,claude-3-7-sonnet-20250219,102
gpt-4.1-mini-2025-04-14,llama-4-maverick-17b-128e-instruct,101
claude-3-5-haiku-20241022,llama-4-maverick-17b-128e-instruct,101
gemini-2.5-flash-preview-04-17,qwen3-235b-a22b-no-thinking,101
claude-3-5-sonnet-20241022,command-a-03-2025,101
command-a-03-2025,grok-3-mini-beta,101
command-a-03-2025,gpt-4.1-mini-2025-04-14,101
claude-3-5-sonnet-20241022,qwq-32b,101
o3-2025-04-16,qwq-32b,101
amazon.nova-pro-v1:0,minimax-m1,101
gemini-2.5-flash-lite-preview-06-17-thinking,gpt-4.1-2025-04-14,101
claude-sonnet-4-20250514-thinking-32k,o3-mini,101
gemini-2.5-flash-lite-preview-06-17-thinking,gemma-3-27b-it,100
command-a-03-2025,gemma-3-27b-it,100
claude-3-7-sonnet-20250219,claude-3-7-sonnet-20250219-thinking-32k,100
claude-3-5-haiku-20241022,claude-3-5-sonnet-20241022,99
deepseek-r1-0528,deepseek-v3-0324,99
amazon-nova-experimental-chat-05-14,claude-sonnet-4-20250514-thinking-32k,99
minimax-m1,o3-mini,99
claude-3-5-sonnet-20241022,claude-opus-4-20250514-thinking-16k,99
amazon-nova-experimental-chat-05-14,qwen3-235b-a22b-no-thinking,99
claude-opus-4-20250514-thinking-16k,qwen3-235b-a22b,99
deepseek-r1-0528,qwen3-30b-a3b,99
claude-3-5-sonnet-20241022,qwen3-30b-a3b,99
claude-3-7-sonnet-20250219,deepseek-v3-0324,99
gemini-2.0-flash-001,gemini-2.5-flash-preview-04-17,99
claude-opus-4-20250514-thinking-16k,qwen3-30b-a3b,98
amazon-nova-experimental-chat-05-14,gemini-2.5-flash,98
gemma-3-27b-it,qwq-32b,98
chatgpt-4o-latest-20250326,deepseek-r1-0528,98
amazon-nova-experimental-chat-05-14,o3-2025-04-16,98
claude-3-7-sonnet-20250219-thinking-32k,gemini-2.5-flash-lite-preview-06-17-thinking,97
amazon.nova-pro-v1:0,o4-mini-2025-04-16,97
gemini-2.5-pro,llama-4-scout-17b-16e-instruct,97
deepseek-v3-0324,gemini-2.5-flash-preview-04-17,97
amazon.nova-pro-v1:0,gemini-2.5-flash-preview-04-17,97
amazon.nova-pro-v1:0,gpt-4.1-2025-04-14,97
amazon.nova-pro-v1:0,claude-3-5-haiku-20241022,97
gemini-2.5-flash-preview-04-17,o4-mini-2025-04-16,97
deepseek-v3-0324,gpt-4.1-mini-2025-04-14,97
amazon.nova-pro-v1:0,grok-3-preview-02-24,96
claude-3-5-haiku-20241022,gpt-4.1-2025-04-14,96
gpt-4.1-2025-04-14,grok-3-mini-beta,96
minimax-m1,o4-mini-2025-04-16,96
llama-4-scout-17b-16e-instruct,o3-2025-04-16,96
gemini-2.5-flash-lite-preview-06-17-thinking,mistral-small-3.1-24b-instruct-2503,96
llama-3.3-70b-instruct,o4-mini-2025-04-16,95
claude-sonnet-4-20250514,qwq-32b,95
claude-3-7-sonnet-20250219-thinking-32k,claude-sonnet-4-20250514-thinking-32k,95
gemini-2.5-flash,mistral-small-3.1-24b-instruct-2503,95
gemini-2.0-flash-001,gemini-2.5-pro-preview-03-25,95
gpt-4.1-mini-2025-04-14,qwen3-235b-a22b,95
gpt-4.1-2025-04-14,llama-4-maverick-17b-128e-instruct,95
gemma-3-27b-it,qwen-max-2025-01-25,95
claude-sonnet-4-20250514-thinking-32k,minimax-m1,95
amazon.nova-pro-v1:0,gemma-3-27b-it,95
mistral-medium-2505,qwq-32b,95
gemini-2.0-flash-001,qwq-32b,95
claude-3-7-sonnet-20250219,claude-opus-4-20250514-thinking-16k,95
chatgpt-4o-latest-20250326,claude-sonnet-4-20250514-thinking-32k,95
deepseek-v3-0324,gemini-2.0-flash-001,94
claude-3-5-sonnet-20241022,claude-3-7-sonnet-20250219-thinking-32k,94
claude-3-5-haiku-20241022,command-a-03-2025,94
llama-4-maverick-17b-128e-instruct,qwen3-235b-a22b-no-thinking,94
amazon.nova-pro-v1:0,o3-mini,94
gemini-2.5-flash-lite-preview-06-17-thinking,minimax-m1,94
gemini-2.5-pro,gemini-2.5-pro-preview-05-06,94
gemini-2.5-flash-preview-04-17,o3-mini,93
claude-opus-4-20250514-thinking-16k,gpt-4.1-mini-2025-04-14,93
minimax-m1,qwen3-235b-a22b,93
claude-opus-4-20250514-thinking-16k,mistral-small-3.1-24b-instruct-2503,93
gpt-4.1-2025-04-14,qwen-max-2025-01-25,93
